" Jordan 1 SB QS | $450.00 | http://www.stadiumgoods.com/jordan-1-sb-qs-white-white-653532-100 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 1 Retro Low OG | $109.00 | http://www.stadiumgoods.com/air-jordan-1-retro-low-og-white-varsity-red-white-705329-101 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 1 Retro Alpha (GS) | $120.00 | http://www.stadiumgoods.com/air-jordan-1-retro-alpha-gs-white-university-blue-316270-142 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jodran 1 Retro LS | $175.00 | http://www.stadiumgoods.com/air-jodran-1-retro-ls-sport-red-white-varsity-red-315794-611 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 1 Pinnacle | $375.00 | http://www.stadiumgoods.com/air-jordan-1-pinnacle-brq-brwn-mtllc-gld-mtlc-smmt-w-705075-205 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 1 Retro High Jeter | $675.00 | http://www.stadiumgoods.com/air-jordan-1-retro-high-jeter-midnight-navy-metallic-gold-sl-715854-402 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 1 Retro High OG | $400.00 | http://www.stadiumgoods.com/air-jordan-1-retro-high-og-white-black-varsity-red-555088-101 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 1 Mid | $99.00 | http://www.stadiumgoods.com/air-jordan-1-mid-white-cool-grey-white-554724-102 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Jordan 1 SB QS | $300.00 | http://www.stadiumgoods.com/jordan-1-sb-qs-black-black-silver-653532-001 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 1 4Lab1 | $99.00 | http://www.stadiumgoods.com/air-jordan-1-4lab1-black-reflect-silver-white-677690-012 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 2 R JS DN BG | $475.00 | http://www.stadiumgoods.com/air-jordan-2-r-js-dn-bg-beach-metallic-gold-unvrsty-rd-839604-250 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 2 Retro BG | $75.00 | http://www.stadiumgoods.com/air-jordan-2-retro-bg-white-drk-concord-blck-wlf-gry-395718-153 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Jordan 3 Retro (PS) | $350.00 | http://www.stadiumgoods.com/jordan-3-retro-ps-black-varsity-red-cement-grey-429487-010 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 3 Retro | $250.00 | http://www.stadiumgoods.com/air-jordan-3-retro-wolf-grey-mtllc-slvr-blck-wht-136064-004 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 3 Retro (GS) | $150.00 | http://www.stadiumgoods.com/air-jordan-3-retro-gs-blck-brght-crmsn-cnyn-prpl-pr-398614-005 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 4 | $495.00 | http://www.stadiumgoods.com/air-jordan-4-multi-multi-308497-003 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 4 Retro OG BG | $190.00 | http://www.stadiumgoods.com/air-jordan-4-retro-og-bg-white-fire-red-black-tech-grey-836016-192 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 4 Retro BG | $130.00 | http://www.stadiumgoods.com/air-jordan-4-retro-bg-black-tech-grey-black-408452-003 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 4 Retro LS | $225.00 | http://www.stadiumgoods.com/air-jordan-4-retro-ls-white-legend-blue-midnight-nav-314254-107 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Girls Jordan 4 Retro (PS) | $100.00 | http://www.stadiumgoods.com/girls-jordan-4-retro-ps-voltage-cherry-white-black-487725-601 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 5 Retro LS | $250.00 | http://www.stadiumgoods.com/air-jordan-5-retro-ls-white-emerald-green-grape-ice-314259-131 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 5 Retro OG BG | $190.00 | http://www.stadiumgoods.com/air-jordan-5-retro-og-bg-black-fire-red-mtllc-slvr-wht-845036-003 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 5 Retro Premio | $1,750.00 | http://www.stadiumgoods.com/air-jordan-5-retro-premio-black-black-metallic-silver-444844-001 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 5 Retro | $695.00 | http://www.stadiumgoods.com/air-jordan-5-retro-sequoia-fire-red-mdm-olv-blck-626971-350 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 5 Retro | $175.00 | http://www.stadiumgoods.com/air-jordan-5-retro-lt-graphite-white-wolf-grey-440888-005 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Jordan 5 Retro (PS) | $175.00 | http://www.stadiumgoods.com/jordan-5-retro-ps-cl-gry-cln-pnk-crt-prpl-gm-ryl-440889-090 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 6 Retro | $475.00 | http://www.stadiumgoods.com/air-jordan-6-retro-rw-umbr-chllng-rd-tm-rd-mtllc-384664-250 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 6 Spiz'ike | $295.00 | http://www.stadiumgoods.com/air-jordan-6-spiz-ike-varsity-red-clssc-grn-blck-wht-694091-625 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 7 | $250.00 | http://www.stadiumgoods.com/air-jordan-7-multi-multi-304775-102 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 7 Retro | $300.00 | http://www.stadiumgoods.com/air-jordan-7-retro-black-lt-graphite-bordeaux-304775-003 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 7 Retro (GS) | $300.00 | http://www.stadiumgoods.com/air-jordan-7-retro-gs-white-varsity-purple-flnt-grey-304774-151 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 7 Retro BG | $160.00 | http://www.stadiumgoods.com/air-jordan-7-retro-bg-wht-frnch-bl-unvrsity-bl-flnt-304774-107 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Jordan 8 Retro BP | $80.00 | http://www.stadiumgoods.com/jordan-8-retro-bp-blk-aqua-305369-025 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 8 Retro BG | $125.00 | http://www.stadiumgoods.com/air-jordan-8-retro-bg-blck-tr-rd-flnt-gry-brght-cn-305368-025 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 9 Retro | $190.00 | http://www.stadiumgoods.com/air-jordan-9-retro-medium-grey-white-cool-grey-302370-011 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 9 Retro | $450.00 | http://www.stadiumgoods.com/air-jordan-9-retro-black-varsity-red-light-olive-302370-020 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan Retro 10 | $200.00 | http://www.stadiumgoods.com/air-jordan-retro-10-ocn-fg-mdnght-nvy-ocn-fg-bl-lg-310805-404 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Jordan 10 Retro (PS) | $100.00 | http://www.stadiumgoods.com/jordan-10-retro-ps-white-blck-lt-stl-gry-vrsty-rd-310807-103 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 2 Retro | $150.00 | http://www.stadiumgoods.com/air-jordan-2-black-varsity-red-834274-001 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
